id,name,edition,team,firstNight,firstNightReminder,otherNight,otherNightReminder,reminders,remindersGlobal,ability,setup
alchemist,Alquimista,,townsfolk,3,Muestra al Alquimista el token de un Minion no presente en el juego.,0,,,Es el Alquimista,Tienes la habilidad de un Minion no presente en la partida.,
amnesiac,Amnésico,,townsfolk,12,Decide la habilidad del Amnésico. Si la habilidad requiere que se despierte esta noche: despiértale para que la use.,5,Si la habilidad del Amnésico requiere que se despierte esta noche: despiértale para que la use.,?,,"No sabes cuál es tu habilidad. Cada día, intenta adivinarla en privado: sabrás qué tan cerca estás de adivinarla.",
artist,Artista,snv,townsfolk,0,,0,,Sin Habilidad,,"Una vez por juego, durante el día, hazle una pregunta de sí o no al Narrador en privado.",
atheist,Ateo,,townsfolk,0,,0,,,,"El Narrador puede romper las reglas del juego y, si es ejecutado, gana el equipo bueno, aún si estás muerto. [No hay personajes del equipo malo]",TRUE
balloonist,Aeronauta,,townsfolk,44,Elige una categoría de personajes. Señala a un jugador que tenga un personaje de esa cateogría. Coloca el recordatorio de Visto del Aeronauta junto a ese personaje.,63,"Elige una categorí­a de personajes que aún no tenga el recordatorio de Visto del Aeroanuta junto a un personaje. Señala a un jugador cuyo personaje está en esa categoría, si lo hay. Coloca el recordatorio de Visto del Aeronauta junto a ese personaje.",Conocido,,"Cada noche, aprendes un jugador de una categoría diferente al de anoche. [+0 o +1 Forastero]",TRUE
bountyhunter,Cazarrecompensas,,townsfolk,45,Despierta al Aldeano del equipo malo y muéstrale la tarjeta de 'Eres' y el pulgar hacia abajo.,65,"Si el Aldeano conocido por el Cazarrecompensas está muerto, señala a otro jugador del equipo malo.",Conocido,,"Comienzas sabiendo que un jugador es del equipo malo. Si el jugador que conoces muere, esta noche conoces a otro jugador del equipo malo. [Un Aldeano es malo]",
cannibal,Caníbal,,townsfolk,0,,0,,"Envenenado,Murió Hoy",,"Tienes la habilidad del que más recientemente murió por ejecución. Si dicha persona es del equipo malo, estás envenenado hasta que alguien del equipo bueno muera por ejecución.",
chambermaid,Camarera,bmr,townsfolk,50,"La Camarera señala a dos jugadores. Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos de esos jugadores se despertaron esta noche gracias a su habilidad.",70,"La Camarera señala a dos jugadores. Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos de esos jugadores se despertaron esta noche gracias a su habilidad.",,,"Cada noche, escoge a dos jugadores vivos (no tú mismo): aprendes cuántos despertaron esta noche gracias a su habilidad.",
chef,Chef,tb,townsfolk,35,"Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos pares de jugadores del equipo malo están sentados juntos.",0,,,,Comienzas sabiendo cuántos pares de jugadores del equipo malo están sentados juntos.,
choirboy,Corista,,townsfolk,0,,44,"Si el Demonio mata al Rey, despierta al Corista y señala al Demonio.",,,"Si el Demonio mata al Rey, aprendes qué jugador es el Demonio. [+ el Rey]",TRUE
clockmaker,Relojero,snv,townsfolk,40,"Muéstrale la señal numérica (0, 1, 2, ...) indicando a cuántos pasos del Demonio está su Minion más cercano.",0,,,,Comienzas sabiendo a cuántos pasos del Demonio está su Minion más cercano.,
