role_id,jinx_id,reason
lilmonsta,magician,"Cada noche, el Ilusionista escoge a un Minion: si el Minion esta en juego, ese Minion cuida al Pequeno Demonio."
heretic,spy,"El Hereje se registra como un Forastero no en juego para el Espia. El Hereje sabe cual Forastero."
heretic,widow,"El Hereje se registra como un Forastero no en juego para la Viuda. El Hereje sabe cual Forastero."
heretic,godfather,"El Hereje se registra como un Forastero no en juego para el Padrino. El Hereje sabe cual Forastero."
alhadikhia,mastermind,"Si el Al-Hadikhia muere por ejecucion, y el Maquiavelico esta vivo, el Al-Hadikhia escoge a 3 jugadores del equipo bueno esta noche: si los 3 deciden vivir, gana el equipo malo. De lo contrario, gana el equipo bueno."
kazali,soldier,"Si el Kazali convierte al Soldado en un Minion, el Soldado escoge en cual Minion no en juego convertirse."
organgrinder,flowergirl,"Si el Organillero esta causando votos ciegos, la Nina de las Flores despierta esta noche para escoger a un jugador: aprende si ese jugador voto hoy. (En vez de su habilidad normal)"
summoner,preacher,"Si el Pastor escogio al Invocador antes de o en la 3era noche, el Invocador escoge cual Demonio, pero el Narrador escoge cual jugador."
summoner,pithag,"El Invocador no puede crear un Demonio ya en juego. Si el Invocador crea a un Demonio no en juego, las muertes esta noche son arbitrarias."
summoner,kazali,"El Invocador no puede crear un Demonio ya en juego. Si el Invocador crea a un Demonio no en juego, las muertes esta noche son arbitrarias."
summoner,hatter,"El Invocador no puede crear un Demonio ya en juego. Si el Invocador crea a un Demonio no en juego, las muertes esta noche son arbitrarias."
summoner,riot,"Si el Invocador crea Furia, todos los Minions tambien se convierten en Furia."
summoner,legion,"Si el Invocador crea Legion, la mayoria de los jugadores (incluyendo a todo el equipo malo) se convierte en Legion del equipo malo."
summoner,courtier,"Si el Invocador esta borracho en la 3era noche, el Invocador escoge cual Demonio, pero el Narrador escoge cual jugador."
summoner,zombuul,"Si el Invocador convierte a un jugador muerto en un Zombuul, el Narrador trata a ese jugador como un Zombuul que ha muerto una vez."
summoner,pukka,"El Invocador puede escoger a un jugador para convertir en Pukka en la 2da noche."
summoner,engineer,"Si el Ingeniero remueve al Invocador del juego antes de que este use su habilidad, el Invocador usa su habilidad inmediatamente."
vizier,politician,"El Politico puede que se registre como del equipo malo para el Visir."
spy,alchemist,"El Alquimista con la habilidad del Espia ve los personajes en el Grimoire, pero no los recordatorios, tokens de noche, etc. Solo el Alquimista y otro personaje es informacion cierta."
widow,alchemist,"El Alquimista con la habilidad del Espia ve los personajes en el Grimoire, pero no los recordatorios, tokens de noche, etc. Solo el Alquimista y otro personaje es informacion cierta."
legion,preacher,"Si el Pastor escoge Legion, Legion mantiene su habilidad, pero el Pastor puede que aprenda que escogio Legion."
legion,minstrel,"Si Legion muere por ejecucion hoy, Legion mantiene su habilidad, pero el Trovador puede que aprenda que ejecutaron Legion."
organgrinder,preacher,"Si el Pastor remueve la habilidad del Organillero, el Organillero mantiene su habilidad pero el Pastor mantiene sus ojos abiertos al votar."
organgrinder,minstrel,"Si el Trovador hace que todos se emborrachen, el Organillero mantiene su habilidad pero el Trovador mantiene sus ojos abiertos al votar."
