,id,image
0,acrobat,https://wiki.bloodontheclocktower.com//images/b/b5/Icon_acrobat.png
1,alchemist,https://wiki.bloodontheclocktower.com//images/5/54/Icon_alchemist.png
2,alsaahir,https://wiki.bloodontheclocktower.com//images/8/8e/Icon_alsaahir.png
3,amnesiac,https://wiki.bloodontheclocktower.com//images/2/26/Icon_amnesiac.png
4,artist,https://wiki.bloodontheclocktower.com//images/1/1a/Icon_artist.png
5,atheist,https://wiki.bloodontheclocktower.com//images/4/43/Icon_atheist.png
6,balloonist,https://wiki.bloodontheclocktower.com//images/c/cb/Icon_balloonist.png
7,banshee,https://wiki.bloodontheclocktower.com//images/6/63/Icon_banshee.png
8,bountyhunter,https://wiki.bloodontheclocktower.com//images/5/5b/Icon_bountyhunter.png
9,cannibal,https://wiki.bloodontheclocktower.com//images/8/8e/Icon_cannibal.png
10,chambermaid,https://wiki.bloodontheclocktower.com//images/8/87/Icon_chambermaid.png
11,chef,https://wiki.bloodontheclocktower.com//images/d/d5/Icon_chef.png
12,choirboy,https://wiki.bloodontheclocktower.com//images/d/d9/Icon_choirboy.png
13,clockmaker,https://wiki.bloodontheclocktower.com//images/3/3d/Icon_clockmaker.png
14,courtier,https://wiki.bloodontheclocktower.com//images/e/e0/Icon_courtier.png
15,cultleader,https://wiki.bloodontheclocktower.com//images/6/6c/Icon_cultleader.png
16,dreamer,https://wiki.bloodontheclocktower.com//images/f/f2/Icon_dreamer.png
17,empath,https://wiki.bloodontheclocktower.com//images/1/13/Icon_empath.png
18,engineer,https://wiki.bloodontheclocktower.com//images/b/b9/Icon_engineer.png
19,exorcist,https://wiki.bloodontheclocktower.com//images/c/c2/Icon_exorcist.png
20,farmer,https://wiki.bloodontheclocktower.com//images/f/fe/Icon_farmer.png
21,fisherman,https://wiki.bloodontheclocktower.com//images/1/19/Icon_fisherman.png
22,flowergirl,https://wiki.bloodontheclocktower.com//images/a/ac/Icon_flowergirl.png
23,fool,https://wiki.bloodontheclocktower.com//images/d/d9/Icon_fool.png
24,fortuneteller,https://wiki.bloodontheclocktower.com//images/9/97/Icon_fortuneteller.png
25,gambler,https://wiki.bloodontheclocktower.com//images/f/fd/Icon_gambler.png
26,general,https://wiki.bloodontheclocktower.com//images/9/99/Icon_general.png
27,gossip,https://wiki.bloodontheclocktower.com//images/c/c7/Icon_gossip.png
28,grandmother,https://wiki.bloodontheclocktower.com//images/2/26/Icon_grandmother.png
