,role,image
0,washerwoman,https://wiki.bloodontheclocktower.com//images/8/85/Icon_washerwoman.png
1,librarian,https://wiki.bloodontheclocktower.com//images/e/e0/Icon_librarian.png
2,investigator,https://wiki.bloodontheclocktower.com//images/a/ad/Icon_investigator.png
3,chef,https://wiki.bloodontheclocktower.com//images/d/d5/Icon_chef.png
4,empath,https://wiki.bloodontheclocktower.com//images/1/13/Icon_empath.png
5,fortuneteller,https://wiki.bloodontheclocktower.com//images/c/c3/Icon_fortune_teller.png
6,undertaker,https://wiki.bloodontheclocktower.com//images/0/05/Icon_undertaker.png
7,monk,https://wiki.bloodontheclocktower.com//images/7/7c/Icon_monk.png
8,slayer,https://wiki.bloodontheclocktower.com//images/d/d3/Icon_slayer.png
9,soldier,https://wiki.bloodontheclocktower.com//images/c/c3/Icon_soldier.png
10,ravenkeeper,https://wiki.bloodontheclocktower.com//images/e/ef/Icon_ravenkeeper.png
11,virgin,https://wiki.bloodontheclocktower.com//images/d/d3/Icon_virgin.png
12,butler,https://wiki.bloodontheclocktower.com//images/1/19/Icon_butler.png
13,saint,https://wiki.bloodontheclocktower.com//images/c/c9/Icon_saint.png
14,recluse,https://wiki.bloodontheclocktower.com//images/6/60/Icon_recluse.png
15,poisoner,https://wiki.bloodontheclocktower.com//images/b/b1/Icon_poisoner.png
16,spy,https://wiki.bloodontheclocktower.com//images/5/54/Icon_spy.png
17,baron,https://wiki.bloodontheclocktower.com//images/6/6d/Icon_baron.png
